DriverNumber,Team,FastestFPLap,MeanFPLaps,StdFPLaps,DeltaBestFPLap,TrackTempAvgFP,AirTempAvgFP,RainAvgFP,GP,FastestLapRace,Year,TrackTempAvgRace,AirTempAvgRace,RainAvgRace,FasterThanTeammateRace,PointFinishRace,FasterThanTeammateFP
14,Aston Martin,65.243,66.1881875,0.6054476875368764,-0.9189999999999969,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,1.0,0.0
18,Aston Martin,65.022,66.11062500000001,0.5441528823547652,-0.6980000000000075,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,0.0,1.0
22,Red Bull Racing,65.139,66.11799999999998,0.5190048169333304,-0.8149999999999977,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,0.0,0.0
23,Williams,65.314,66.11412499999999,0.5808180518673645,-0.9899999999999949,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,0.0,1.0
27,Kick Sauber,65.283,66.226,0.591364382875173,-0.9590000000000032,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,1.0,0.0
30,Racing Bulls,65.182,66.18669230769231,0.598144616500494,-0.8580000000000041,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,1.0,1.0
31,Haas F1 Team,65.519,66.53129411764706,0.5587717375380398,-1.1950000000000074,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,1.0,0.0
38,Ferrari,66.369,67.371,0.6313976559981824,-2.0450000000000017,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,,,0.0
43,Alpine,65.546,66.65553333333334,0.4913564716397064,-1.2220000000000084,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,0.0,0.0
44,Ferrari,64.79,65.6319,0.45154943250988533,-0.4660000000000082,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,1.0,0.0
55,Williams,65.326,66.10816666666666,0.4782104662175431,-1.0019999999999953,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,0.0,0.0
63,Mercedes,65.018,65.66423076923076,0.4954260255028612,-0.6940000000000026,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,1.0,1.0
81,McLaren,64.442,65.6058,0.6186910052683828,-0.117999999999995,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,1.0,0.0
87,Haas F1 Team,65.366,66.36546153846153,0.6735917064381409,-1.0420000000000016,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,0.0,0.0,1.0
89,McLaren,65.766,66.79740000000001,0.5947739402495683,-1.4420000000000073,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,,,0.0
4,McLaren,64.324,65.07366666666667,0.4928806481627509,0.0,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,1.0,1.0
16,Ferrari,64.574,65.48877777777778,0.4748475258854215,-0.25,37.311344537815124,24.676470588235293,0.0,Austrian Grand Prix,67.924,2025,49.166459627329196,30.347826086956523,0.0,1.0,1.0,1.0
1,Red Bull Racing,85.585,86.60833333333332,0.6119277372006915,-0.08699999999998909,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,1.0,1.0,1.0
4,McLaren,85.606,86.78670000000002,0.59298685482901,-0.10799999999998988,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,1.0,1.0,0.0
5,Kick Sauber,86.501,87.57166666666666,0.7141196600632772,-1.0030000000000001,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,0.0,0.0,0.0
6,Racing Bulls,86.129,87.3294,0.5889485885881707,-0.6310000000000002,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,1.0,0.0,1.0
10,Alpine,87.174,88.38909090909092,0.5645950205147783,-1.676000000000002,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,1.0,1.0,1.0
12,Mercedes,86.383,87.31179999999998,0.674006943584415,-0.8849999999999909,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,0.0,0.0,0.0
14,Aston Martin,86.876,87.5555,0.5598814606682375,-1.3780000000000001,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,0.0,1.0,0.0
16,Ferrari,85.498,86.49530000000001,0.6130466621718121,0.0,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,0.0,0.0,1.0
18,Aston Martin,86.43,87.7003,0.541975654434771,-0.9320000000000022,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,1.0,1.0,1.0
23,Williams,86.119,87.30463636363636,0.5670148743803768,-0.6209999999999951,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,1.0,1.0,1.0
30,Racing Bulls,86.256,87.34222222222223,0.5111705037955712,-0.7579999999999956,34.738114754098355,22.18114754098361,0.0,British Grand Prix,89.337,2025,23.578709677419354,17.91741935483871,0.18064516129032257,0.0,0.0,0.0
